PRECINCT,COUNCILMANIC_DISTRICTS,LEGISLATIVE_DISTRICTS,GENDER,n
26007,001,46,U,2
26008,001,46,F,1133
26008,001,46,M,978
26008,001,46,U,4
26009,001,46,F,2139
26009,001,46,M,2015
26009,001,46,U,4
26010,001,46,F,1447
26010,001,46,M,1289
26010,001,46,U,6
26011,002,46,F,633
26011,002,46,M,721
26011,002,46,U,1
26012,013,46,F,335
26012,013,46,M,302
26012,013,46,U,1
26013,013,45,F,590
26013,013,45,M,519
26014,002,45,F,541
26014,002,45,M,493
26014,002,45,U,2
26015,002,45,F,1058
26015,002,45,M,761
26015,002,45,U,1
26016,002,45,F,866
26016,002,45,M,596
26016,002,45,U,1
26017,013,45,F,440
26017,013,45,M,285
26017,013,45,U,2
26018,013,45,F,717
26018,013,45,M,559
26018,013,45,U,2
26019,013,45,F,987
26019,013,45,M,743
26019,013,45,U,1
26020,013,45,F,492
26020,013,45,M,395
26020,013,45,U,1
26021,013,45,F,616
26021,013,45,M,452
26022,002,45,F,510
26022,002,45,M,403
26022,002,45,U,1
26023,002,45,F,811
26023,002,45,M,542
26023,002,45,U,2
26024,002,45,F,1436
26024,002,45,M,1104
26024,002,45,U,3
26025,002,45,F,1158
26025,002,45,M,976
26025,002,45,U,5
26026,002,45,F,1176
26026,002,45,M,981
26026,002,45,U,1
26027,002,45,F,919
26027,002,45,M,755
26027,002,45,U,1
26028,002,45,F,776
26028,002,45,M,631
26028,002,45,U,2
26029,002,45,F,2762
26029,002,45,M,2116
26029,002,45,U,3
26030,002,45,F,640
26030,002,45,M,530
26030,002,45,U,2
