County,County Name,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,45,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,24,NA,119,NA,48,NA,7,NA,26,NA,224,0,224
03,Baltimore City,45,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,32,NA,167,NA,47,NA,12,NA,24,NA,282,0,282
03,Baltimore City,45,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,48,NA,233,NA,66,NA,28,NA,22,NA,397,0,397
03,Baltimore City,45,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,1
03,Baltimore City,45,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,6,NA,28,NA,10,NA,0,NA,4,NA,48,0,48
03,Baltimore City,45,Comptroller,Barry Glassman,REP,NA,NA,428,NA,2085,NA,622,NA,119,NA,182,NA,3436,0,3436
03,Baltimore City,45,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,4201,NA,11653,NA,5418,NA,977,NA,1851,NA,24100,0,24100
03,Baltimore City,45,Comptroller,Other Write-Ins,NA,NA,Y,4,NA,32,NA,14,NA,2,NA,6,NA,58,0,58
03,Baltimore City,45,Attorney General,Michael Anthony Peroutka,REP,NA,NA,321,NA,1679,NA,479,NA,74,NA,120,NA,2673,0,2673
03,Baltimore City,45,Attorney General,Anthony G. Brown,DEM,Y,NA,4314,NA,12080,NA,5604,NA,1034,NA,1928,NA,24960,0,24960
03,Baltimore City,45,Attorney General,Other Write-Ins,NA,NA,Y,8,NA,27,NA,7,NA,0,NA,3,NA,45,0,45
03,Baltimore City,45,U.S. Senator,Chris Chaffee,REP,NA,NA,312,NA,1625,NA,439,NA,86,NA,112,NA,2574,0,2574
03,Baltimore City,45,U.S. Senator,Chris Van Hollen,DEM,Y,NA,4322,NA,12122,NA,5629,NA,1014,NA,1923,NA,25010,0,25010
03,Baltimore City,45,U.S. Senator,Scottie Griffin,DEM,NA,Y,2,NA,6,NA,0,NA,0,NA,0,NA,8,0,8
03,Baltimore City,45,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,45,U.S. Senator,Other Write-Ins,NA,NA,Y,7,NA,32,NA,7,NA,0,NA,2,NA,48,0,48
03,Baltimore City,45,U.S. Congress,Scott M. Collier,REP,NA,NA,324,NA,1701,NA,503,NA,84,NA,130,NA,2742,0,2742
03,Baltimore City,45,U.S. Congress,Kweisi Mfume,DEM,Y,NA,4316,NA,12093,NA,5562,NA,1016,NA,1897,NA,24884,0,24884
03,Baltimore City,45,U.S. Congress,Other Write-Ins,NA,NA,Y,9,NA,42,NA,11,NA,1,NA,7,NA,70,0,70
03,Baltimore City,45,State Senator,Cory V. McCray,DEM,Y,NA,4348,NA,12323,NA,5552,NA,808,NA,1872,NA,24903,0,24903
03,Baltimore City,45,State Senator,Other Write-Ins,NA,NA,Y,40,NA,213,NA,29,NA,9,NA,11,NA,302,0,302
03,Baltimore City,45,House of Delegates,Antonio Barboza,REP,NA,NA,477,NA,2200,NA,630,NA,96,NA,179,NA,3582,0,3582
03,Baltimore City,45,House of Delegates,Jackie Addison,DEM,Y,NA,3785,NA,9994,NA,4855,NA,636,NA,1642,NA,20912,0,20912
03,Baltimore City,45,House of Delegates,Stephanie Smith,DEM,Y,NA,3810,NA,10082,NA,4924,NA,648,NA,1697,NA,21161,0,21161
03,Baltimore City,45,House of Delegates,Caylin Young,DEM,Y,NA,3635,NA,9482,NA,4679,NA,572,NA,1595,NA,19963,0,19963
03,Baltimore City,45,House of Delegates,Other Write-Ins,NA,NA,Y,35,NA,151,NA,38,NA,9,NA,13,NA,246,0,246
03,Baltimore City,45,Judge Circuit Court,Erik Atas,JUD,Y,NA,2597,NA,6686,NA,3331,NA,413,NA,1016,NA,14043,0,14043
03,Baltimore City,45,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,2556,NA,6688,NA,3270,NA,426,NA,993,NA,13933,0,13933
03,Baltimore City,45,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,3259,NA,9043,NA,3998,NA,641,NA,1290,NA,18231,0,18231
03,Baltimore City,45,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,3141,NA,8118,NA,3843,NA,547,NA,1179,NA,16828,0,16828
03,Baltimore City,45,Judge Circuit Court,Other Write-Ins,NA,NA,Y,63,NA,238,NA,70,NA,16,NA,20,NA,407,0,407
03,Baltimore City,45,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,3137,848,8607,3094,4154,751,612,268,1229,304,17739,5265,23004
03,Baltimore City,45,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,3071,854,8490,2972,3962,879,620,249,1158,364,17301,5318,22619
03,Baltimore City,45,State's Attorney,Ivan Bates,DEM,Y,NA,4317,NA,12448,NA,5576,NA,959,NA,1863,NA,25163,0,25163
03,Baltimore City,45,State's Attorney,Other Write-Ins,NA,NA,Y,75,NA,265,NA,102,NA,25,NA,26,NA,493,0,493
03,Baltimore City,45,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,4111,NA,11728,NA,5156,NA,932,NA,1681,NA,23608,0,23608
03,Baltimore City,45,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,43,NA,174,NA,51,NA,7,NA,26,NA,301,0,301
03,Baltimore City,45,Register of Wills,Belinda K. Conaway,DEM,Y,NA,4172,NA,11861,NA,5302,NA,929,NA,1717,NA,23981,0,23981
03,Baltimore City,45,Register of Wills,Other Write-Ins,NA,NA,Y,35,NA,146,NA,29,NA,8,NA,13,NA,231,0,231
03,Baltimore City,45,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,3494,NA,9440,NA,4475,NA,676,NA,1410,NA,19495,0,19495
03,Baltimore City,45,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,3510,NA,9159,NA,4375,NA,639,NA,1387,NA,19070,0,19070
03,Baltimore City,45,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,3479,NA,9357,NA,4531,NA,684,NA,1461,NA,19512,0,19512
03,Baltimore City,45,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,40,NA,174,NA,29,NA,11,NA,13,NA,267,0,267
03,Baltimore City,45,Sheriff,Sam Cogen,DEM,Y,NA,4047,NA,11570,NA,5190,NA,891,NA,1669,NA,23367,0,23367
03,Baltimore City,45,Sheriff,Other Write-Ins,NA,NA,Y,26,NA,154,NA,24,NA,9,NA,9,NA,222,0,222
03,Baltimore City,45,Board of Ed at Large,April Christina Curley,NON,NA,NA,1768,NA,4791,NA,2546,NA,347,NA,672,NA,10124,0,10124
03,Baltimore City,45,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,1740,NA,5286,NA,2332,NA,350,NA,879,NA,10587,0,10587
03,Baltimore City,45,Board of Ed at Large,Salimah Jasani,NON,NA,NA,1143,NA,3602,NA,1267,NA,218,NA,656,NA,6886,0,6886
03,Baltimore City,45,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,2444,NA,6140,NA,2522,NA,477,NA,691,NA,12274,0,12274
03,Baltimore City,45,Board of Ed at Large,Other Write-Ins,NA,NA,Y,30,NA,113,NA,33,NA,4,NA,3,NA,183,0,183
03,Baltimore City,43A,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,150,NA,685,NA,194,NA,53,NA,52,NA,1134,0,1134
03,Baltimore City,43A,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,3884,NA,9410,NA,5693,NA,1115,NA,2219,NA,22321,0,22321
03,Baltimore City,43A,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,15,NA,92,NA,35,NA,12,NA,16,NA,170,0,170
03,Baltimore City,43A,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,34,NA,128,NA,56,NA,18,NA,23,NA,259,0,259
03,Baltimore City,43A,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,41,NA,141,NA,41,NA,15,NA,25,NA,263,0,263
03,Baltimore City,43A,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,1,NA,0,NA,0,NA,0,NA,1,0,1
03,Baltimore City,43A,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,4,NA,17,NA,12,NA,2,NA,3,NA,38,0,38
03,Baltimore City,43A,Comptroller,Barry Glassman,REP,NA,NA,279,NA,1111,NA,392,NA,89,NA,138,NA,2009,0,2009
03,Baltimore City,43A,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,3832,NA,9223,NA,5644,NA,1114,NA,2204,NA,22017,0,22017
03,Baltimore City,43A,Comptroller,Other Write-Ins,NA,NA,Y,5,NA,24,NA,9,NA,6,NA,1,NA,45,0,45
