Precinct,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to29,Voted_30to49,Voted_50to64,Voted_65plus,Voted_UnknownAge,Voted_Total,Voted_Adults,Legislative,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Registered_Female,Registered_Male,Registered_UnknownSex,Registered_30to49,Registered_16to17,Registered_18to29,Registered_50to64,Registered_65plus,Registered_UnknownAge,Registered_Under16,Registered_Total,Registered_Adults
27-041,004,391,299,1,5,55,221,192,187,31,691,655,43,2461,1892,70,890,732,2,607,16,171,417,413,0,0,1624,1608
27-042,005,504,436,1,8,80,217,240,345,51,941,882,41,2120,1674,51,1212,1174,3,718,18,282,529,841,1,0,2389,2370
27-043,006,353,156,0,0,17,46,94,337,15,509,494,41,898,848,40,813,487,0,220,0,52,228,800,0,0,1300,1300
27-044,006,404,326,0,2,76,209,202,206,35,730,693,41,1497,1181,31,862,777,2,589,16,195,403,437,1,0,1641,1624
27-045,006,605,467,0,8,105,299,310,302,48,1072,1016,41,4974,4533,374,1395,1138,0,864,22,283,628,736,0,0,2533,2511
27-046,014,240,192,0,2,34,128,101,152,15,432,415,41,1110,883,32,579,476,0,345,8,81,228,392,1,0,1055,1046
27-047,007,311,212,1,2,64,223,105,94,36,524,486,41,1790,1549,86,903,778,2,774,2,262,325,320,0,0,1683,1681
27-048,006,351,193,1,1,50,102,124,236,32,545,512,41,1198,1039,32,858,585,2,337,3,130,292,683,0,0,1445,1442
27-049,005,1066,750,3,11,151,526,443,620,68,1819,1740,41,3930,3021,99,2517,1882,8,1580,30,455,891,1450,1,0,4407,4376
27-050,005,424,314,0,5,63,241,189,206,34,738,699,41,1417,1129,47,899,706,3,587,15,174,391,440,1,0,1608,1592
27-051,005,76,34,0,0,2,8,16,81,3,110,107,41,391,376,4,334,257,0,25,1,4,62,499,0,0,591,590
27-052,006,668,343,0,4,101,244,276,337,49,1011,958,41,3630,2907,70,1881,1521,2,1028,18,495,851,1007,5,0,3404,3381
27-053,006,309,163,0,0,50,98,131,162,31,472,441,40,2192,1679,32,1158,972,3,656,9,321,557,586,4,0,2133,2120
27-054,006,151,89,0,0,19,58,60,98,5,240,235,40,673,521,8,638,588,0,392,3,173,304,348,6,0,1226,1217
27-055,006,69,37,0,0,13,23,30,33,7,106,99,41,1070,812,11,297,230,0,149,3,91,147,137,0,0,527,524
27-056,006,196,101,0,0,30,65,82,103,17,297,280,41,1187,955,25,738,606,3,399,1,202,371,371,3,0,1347,1343
27-057,005,447,248,2,0,56,133,201,283,24,697,673,41,2687,2252,42,1509,1225,9,722,8,321,724,960,8,0,2743,2727
27-058,006,142,74,1,0,17,40,79,69,12,217,205,41,809,644,12,477,399,1,246,1,114,257,257,2,0,877,874
27-059,005,215,135,1,0,35,74,99,130,13,351,338,41,1180,967,35,565,542,2,321,10,153,279,346,0,0,1109,1099
27-060,005,483,298,0,1,73,164,208,289,46,781,734,41,2000,1599,53,1088,899,5,537,14,288,488,664,1,0,1992,1977
27-061,005,193,138,0,1,35,68,104,107,16,331,314,41,1071,834,35,554,431,0,268,3,154,257,301,2,0,985,980
27-062,005,557,358,1,2,92,168,187,424,43,916,871,41,3059,2357,140,1575,1218,7,655,7,332,503,1300,3,0,2800,2790
27-063,005,539,364,0,1,122,205,255,274,46,903,856,41,2616,1881,52,1483,1201,5,712,9,390,568,1007,2,1,2689,2677
27-064,005,493,437,4,6,179,256,223,222,48,934,880,41,2607,1835,63,1259,1124,8,866,17,511,472,525,0,0,2391,2374
27-065,005,814,541,1,5,227,269,252,542,61,1356,1290,41,4686,3477,96,2590,1933,5,1310,15,784,624,1795,0,0,4528,4513
27-066,005,673,527,6,3,200,269,253,421,60,1206,1143,41,3452,2484,119,1810,1446,15,942,13,545,561,1210,0,0,3271,3258
27-067,005,553,340,0,0,115,196,234,300,48,893,845,41,4007,2977,598,1587,1218,6,835,11,425,567,971,2,0,2811,2798
27-069,014,33,32,0,0,5,16,17,25,2,65,63,NA,NA,NA,NA,88,86,0,42,0,18,50,64,0,0,174,174
28-001,005,325,205,0,0,49,99,178,181,23,530,507,41,2006,1601,190,880,787,2,459,5,247,471,485,2,0,1669,1662
28-002,005,676,356,0,3,86,189,284,426,44,1032,985,41,2779,2353,66,1696,1237,3,668,12,348,698,1210,0,0,2936,2924
28-003,006,114,83,0,0,14,46,64,63,10,197,187,41,529,453,15,319,290,1,184,1,70,154,201,0,0,610,609
28-004,005,186,105,0,1,17,62,85,105,21,291,269,41,966,791,21,502,418,0,265,8,124,238,285,0,0,920,912
28-005,005,484,244,0,5,69,143,201,278,32,728,691,41,2141,1705,49,1201,893,2,587,13,317,503,676,0,0,2096,2083
28-006,008,676,390,0,0,101,228,294,392,51,1066,1015,41,3118,2479,73,1751,1437,4,922,5,477,740,1048,0,0,3192,3187
28-007,008,316,189,0,1,51,108,145,169,31,505,473,41,1488,1206,25,796,730,1,422,9,195,405,494,2,0,1527,1516
28-008,008,358,243,0,0,57,151,200,166,27,601,574,41,2121,1683,38,1042,865,0,610,4,313,481,495,4,0,1907,1899
28-009,008,406,253,0,0,94,141,185,203,36,659,623,41,3105,2478,90,1535,1108,3,829,5,483,605,720,4,0,2646,2637
28-010,008,652,335,0,0,107,187,291,344,58,987,929,41,2604,2125,36,1407,1082,2,703,4,359,670,753,2,0,2491,2485
28-011,008,596,345,1,2,90,224,268,312,46,942,894,41,2302,1869,45,1405,1138,1,706,10,324,636,865,3,0,2544,2531
28-012,008,430,278,0,1,83,181,214,198,31,708,676,41,2067,1725,52,1021,793,1,587,12,302,466,448,0,0,1815,1803
28-013,008,403,172,1,1,60,109,154,224,28,576,547,44,2004,1575,19,1246,847,2,503,4,313,452,822,1,0,2095,2090
28-014,008,127,82,0,0,16,41,88,56,8,209,201,44,901,710,20,343,313,2,199,3,109,208,139,0,0,658,655
28-015,008,434,294,0,1,98,206,179,201,43,728,684,41,2612,2082,100,1386,1115,0,853,8,432,586,622,0,0,2501,2493
03-001,012,120,91,0,0,24,62,52,58,15,211,196,46,1925,1373,168,690,798,6,556,1,186,427,319,5,0,1494,1488
03-002,012,95,82,0,0,20,60,58,27,12,177,165,46,1312,1085,42,404,717,1,470,4,144,362,139,3,0,1122,1115
03-003,001,400,356,1,0,123,217,178,186,53,757,704,46,3253,3053,218,1642,1721,5,1484,1,543,742,598,0,0,3368,3367
04-001,011,273,221,3,0,162,183,80,43,29,497,468,46,2622,2521,182,1382,1286,4,1117,5,733,387,430,0,0,2672,2667
04-002,011,284,228,2,1,154,176,105,42,36,514,477,40,4981,4694,323,2225,2224,8,2403,8,954,698,390,4,0,4457,4445
04-003,011,140,61,0,0,24,36,55,78,8,201,193,40,886,654,17,420,291,1,240,1,108,163,198,2,0,712,709
05-001,012,213,118,1,0,23,57,118,112,22,332,310,46,1764,1264,34,1015,1070,3,538,6,207,730,602,5,0,2088,2077
05-002,012,68,31,0,0,10,13,38,33,5,99,94,45,216,192,3,301,251,0,142,0,28,157,223,2,0,552,550
06-001,013,4,6,0,0,1,3,4,2,0,10,10,46,2478,1793,607,46,51,0,45,0,11,18,22,1,0,97,96
06-002,013,320,200,0,0,97,159,135,101,28,520,492,46,1380,1011,181,1287,1172,2,924,11,453,587,483,3,0,2461,2447
06-003,013,108,62,1,0,24,23,42,75,7,171,164,45,732,607,53,447,353,1,206,0,104,186,303,2,0,801,799
06-004,013,259,177,1,0,94,157,73,95,18,437,419,46,1893,1607,218,891,759,5,775,1,337,272,268,2,0,1655,1652
06-005,001,596,452,3,0,204,537,147,110,53,1051,998,46,3633,3004,468,1829,1697,8,1829,6,672,519,503,5,0,3534,3523
07-001,012,200,110,0,0,36,75,91,90,18,310,292,45,1795,1268,23,838,598,5,509,4,226,353,347,1,1,1441,1435
07-002,013,59,29,0,0,17,36,16,14,5,88,83,45,818,712,26,319,263,3,211,0,119,128,126,1,0,585,584
07-003,013,353,208,0,0,70,157,138,160,36,561,525,45,3023,2266,177,1439,1381,5,998,7,505,749,559,6,1,2825,2811
07-004,013,355,193,0,3,44,121,175,166,39,548,506,45,3196,2374,298,1386,1253,4,922,9,420,690,597,5,0,2643,2629
08-001,003,25,22,0,1,4,11,15,11,5,47,41,45,123,102,2,57,47,0,37,1,11,27,28,0,0,104,103
08-002,013,325,163,0,1,66,136,154,103,28,488,459,45,1874,1419,18,943,754,1,607,11,326,403,351,0,0,1698,1687
08-003,013,311,184,0,3,40,114,165,155,18,495,474,45,2246,1654,23,1116,925,3,707,10,325,522,480,0,0,2044,2034
08-004,014,71,35,0,0,14,20,29,37,6,106,100,45,524,386,1,290,237,1,153,2,76,134,163,0,0,528,526
08-005,012,267,161,0,0,38,80,151,135,24,428,404,45,1780,1439,29,1102,1069,2,604,7,278,594,687,3,0,2173,2163
08-006,012,479,279,1,0,78,191,207,247,36,759,723,45,2878,2248,55,1685,1553,3,974,3,455,830,976,3,0,3241,3235
08-007,013,205,135,0,0,40,74,114,87,25,340,315,45,1851,1371,61,1145,1062,3,655,4,282,672,595,2,0,2210,2204
08-008,003,302,244,0,0,55,188,143,131,29,546,517,43,1084,869,25,645,583,2,420,3,165,300,341,1,0,1230,1226
08-009,003,14,11,0,0,3,7,8,7,0,25,25,45,96,76,3,44,42,0,26,1,18,22,18,0,1,86,84
08-010,013,631,336,0,2,86,154,296,388,41,967,924,45,3652,2863,100,2099,1762,3,948,15,473,998,1421,9,0,3864,3840
08-011,013,65,56,0,0,9,17,41,49,5,121,116,45,666,529,26,303,337,0,169,1,66,176,226,2,0,640,637
09-001,004,150,83,0,1,33,67,73,45,14,233,218,43,928,744,7,473,363,1,292,4,166,212,162,1,0,837,832
09-002,004,216,148,3,0,52,104,100,91,20,367,347,43,1278,1067,23,723,616,4,431,2,188,355,363,4,0,1343,1337
09-003,014,334,227,0,1,84,192,117,136,31,561,529,43,1608,1333,53,922,771,2,645,6,273,368,401,2,0,1695,1687
09-004,014,768,442,2,2,100,335,242,482,51,1212,1159,43,2397,2064,58,1647,1226,4,884,13,303,549,1124,4,0,2877,2860
09-005,014,554,328,0,2,82,247,215,290,46,882,834,43,1893,1583,24,1237,941,2,683,9,277,492,719,0,0,2180,2171
09-006,014,720,430,0,2,109,273,318,385,63,1150,1085,43,2159,1788,46,1649,1360,0,919,11,425,702,948,4,0,3009,2994
09-007,014,294,178,0,0,40,119,134,150,29,472,443,43,2096,1633,46,787,727,0,484,4,220,355,450,1,0,1514,1509
09-008,014,279,169,0,1,32,96,150,147,22,448,425,43,1466,1150,27,1171,1126,3,716,10,332,631,604,7,0,2300,2283
09-009,014,207,100,1,0,32,69,109,88,10,308,298,43,1164,882,39,610,475,2,347,3,183,295,259,0,0,1087,1084
09-010,014,272,134,0,0,60,128,108,82,28,406,378,43,1666,1293,95,846,689,4,564,6,245,391,328,5,0,1539,1528
09-011,014,51,25,0,0,6,26,25,16,3,76,73,43,449,331,15,237,195,0,157,1,63,120,91,0,0,432,431
09-012,014,195,121,0,2,20,66,112,98,18,316,296,43,1856,1431,22,697,643,1,410,8,186,389,347,1,0,1341,1332
09-013,012,153,85,0,0,19,51,75,82,11,238,227,45,679,527,23,673,651,2,356,1,166,358,444,1,0,1326,1324
09-014,012,175,113,0,0,22,61,93,99,13,288,275,43,1724,1337,21,725,765,1,439,1,181,420,450,0,0,1491,1490
09-015,012,301,193,0,0,47,112,180,137,18,494,476,45,2455,1815,25,1286,1098,0,661,7,338,677,692,9,0,2384,2368
12-013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,229,220,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,143,125,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,11,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,532,469,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01-001,000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,1,1
