Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Adjusted_Total_Adult_Pop
027-005,Adj,3090,3105,2895,1158,1642,20,46,4,25,127,83,2465
027-006,Adj,4138,4193,3916,676,3161,11,39,0,29,123,154,3295
027-007,Adj,1862,1880,1782,319,1434,3,19,2,5,55,43,1473
027-008,Adj,3555,3578,3305,1015,2212,9,33,2,34,140,133,2846
027-009,Adj,1904,1912,1720,717,956,12,18,0,17,89,103,1495
027-010,Adj,1021,1026,930,534,370,1,16,3,6,53,43,806
027-011,Adj,3228,3246,2916,1374,1452,4,70,2,14,121,209,2622
027-012,Adj,858,859,758,430,309,0,14,0,5,50,51,714
027-013,Adj,4573,4609,4218,803,3320,9,46,1,39,159,232,3540
027-014,Adj,3309,3325,3023,1336,1639,10,20,0,18,163,139,2712
027-015,Adj,2965,2993,2806,337,2419,11,22,1,16,105,82,2336
027-016,Adj,983,985,923,387,516,5,9,1,5,35,27,788
027-017,Adj,1471,1479,1389,374,970,4,23,1,17,41,49,1197
027-018,Adj,3705,3713,3312,1314,1205,9,755,3,26,228,173,3337
027-019,Adj,960,978,937,52,874,0,6,1,4,28,13,768
027-020,Adj,3126,3144,2989,273,2619,6,77,2,12,63,92,2560
027-021,Adj,3199,3231,3101,145,2879,1,47,4,25,74,56,2625
027-022,Adj,2917,2960,2834,97,2710,1,15,1,10,81,45,2392
027-023,Adj,656,663,647,25,608,0,5,2,7,11,5,541
027-024,Adj,639,645,614,13,592,3,0,0,6,19,12,553
027-025,Adj,1516,1530,1458,57,1386,0,10,0,5,40,32,1252
027-026,Adj,1478,1491,1393,275,1061,0,39,0,18,50,48,1298
027-027,Adj,2179,2194,2105,54,2033,3,3,0,12,66,23,1750
027-028,Adj,1541,1557,1495,36,1442,4,6,0,7,43,19,1228
027-029,Adj,1112,1122,1080,37,1030,1,4,0,8,23,19,918
027-030,Adj,1896,1909,1780,44,1720,0,7,0,9,59,70,1543
027-031,Adj,2935,2966,2820,103,2664,9,27,0,17,75,71,2316
027-032,Adj,3266,3285,2997,1008,1872,5,97,0,15,113,175,2732
027-033,Adj,2817,2840,2595,577,1962,2,39,2,13,133,112,2319
027-034,Adj,1940,1957,1834,114,1686,2,22,1,9,80,43,1540
027-035,Adj,4000,4053,3829,151,3641,8,5,0,24,116,108,3111
027-036,Adj,1242,1260,1199,48,1129,2,3,0,17,41,20,950
027-037,Adj,839,841,787,562,183,0,36,0,6,25,29,637
027-038,Adj,2578,2583,2259,1082,729,1,434,1,12,132,192,2321
027-039,Adj,1001,1003,901,789,77,2,31,0,2,48,54,786
027-040,Unadj,1920,1920,1744,1498,163,0,76,0,7,89,87,1469
