Legislative,Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop
46,026-011,Adj,2638,2660,1904,1925,887,573,251,12,37,0,14,60,978
46,026-012,Adj,1179,1197,853,871,530,67,400,6,54,0,3,17,324
45,026-013,Adj,1795,1799,1295,1299,817,730,69,1,8,1,8,45,437
45,026-014,Adj,2365,2380,1651,1666,824,654,134,6,21,0,9,62,780
45,026-015,Adj,2473,2499,1836,1862,1759,74,1646,8,24,0,7,51,52
45,026-016,Adj,1717,1744,1204,1230,1175,26,1134,1,10,0,4,38,17
45,026-017,Adj,1038,1050,732,744,697,32,658,3,2,1,1,24,23
45,026-018,Adj,1419,1442,1098,1121,1074,50,1011,7,0,0,6,27,20
45,026-019,Adj,1814,1843,1401,1430,1371,47,1306,7,3,0,8,33,26
45,026-020,Adj,1053,1067,788,802,756,40,709,0,3,2,2,24,22
45,026-021,Adj,1332,1354,961,983,935,41,878,4,7,1,4,30,18
45,026-022,Adj,1064,1074,788,798,744,49,681,5,9,0,0,26,28
45,026-023,Adj,1717,1734,1310,1326,1285,104,1171,1,1,0,8,15,26
45,026-024,Adj,3068,3114,2446,2490,2402,140,2197,2,50,1,12,43,45
45,026-025,Adj,2812,2834,2227,2249,2137,107,1963,4,60,0,3,51,61
45,026-026,Adj,2403,2443,1879,1919,1790,326,1436,11,7,0,10,63,66
45,026-027,Adj,1866,1881,1498,1513,1447,215,1204,3,13,1,11,27,39
45,026-028,Adj,1355,1371,1084,1099,1024,68,940,1,8,2,5,49,26
45,026-029,Adj,5629,5686,4355,4412,4242,396,3810,7,4,1,24,74,96
45,026-030,Adj,1251,1261,1014,1024,967,262,692,2,6,0,5,19,38
45,026-031,Adj,1151,1156,863,868,787,355,402,4,24,1,1,41,40
45,026-032,Adj,2215,2257,1699,1740,1691,103,1577,1,2,0,8,23,26
45,026-033,Adj,2014,2047,1594,1626,1572,83,1480,5,3,0,1,37,17
45,027-001,Adj,2891,2911,2271,2291,2129,513,1572,7,16,0,21,73,89
45,027-002,Unadj,662,662,538,538,478,348,119,1,10,0,0,27,33
45,027-003,Adj,804,805,643,644,592,277,300,1,11,0,3,27,25
45,027-004,Adj,686,691,553,558,520,264,234,1,18,0,3,20,18
45,027-005,Adj,3090,3105,2450,2465,2314,1004,1250,8,39,4,9,92,59
45,027-006,Adj,4138,4193,3240,3295,3094,610,2417,8,32,0,27,84,117
45,027-007,Adj,1862,1880,1456,1473,1408,292,1093,3,16,2,2,38,27
45,027-008,Adj,3555,3578,2823,2846,2647,932,1647,9,30,2,27,101,98
45,027-009,Adj,1904,1912,1487,1495,1369,622,714,5,14,0,14,57,69
45,027-010,Adj,1021,1026,801,806,734,445,269,1,11,3,5,43,29
45,027-011,Adj,3228,3246,2604,2622,2398,1228,1090,4,61,2,13,96,128
43,027-012,Adj,858,859,713,714,653,388,250,0,10,0,5,32,29
43,027-013,Adj,4573,4609,3505,3540,3280,698,2503,9,41,0,29,112,148
45,027-014,Adj,3309,3325,2696,2712,2493,1200,1258,7,19,0,9,115,104
43,027-015,Adj,2965,2993,2308,2336,2222,284,1898,8,22,1,9,60,54
43,027-016,Adj,983,985,786,788,749,324,408,4,9,1,3,21,18
43,027-017,Adj,1471,1479,1189,1197,1142,331,772,4,23,1,11,20,35
43,027-018,Adj,3705,3713,3329,3337,2991,1233,985,8,750,3,12,193,153
43,027-019,Adj,960,978,750,768,740,46,684,0,6,1,3,22,6
43,027-020,Adj,3126,3144,2542,2560,2434,240,2105,6,70,2,11,57,69
43,027-021,Adj,3199,3231,2593,2625,2526,136,2321,1,47,4,17,56,43
43,027-022,Adj,2917,2960,2349,2392,2296,92,2178,1,15,1,9,58,38
43,027-023,Adj,656,663,534,541,525,25,489,0,5,2,4,11,5
43,027-024,Adj,639,645,547,553,524,11,505,3,0,0,5,19,10
43,027-025,Adj,1516,1530,1238,1252,1200,43,1144,0,10,0,3,31,21
43,027-026,Adj,1478,1491,1285,1298,1226,238,937,0,39,0,12,36,36
43,027-027,Adj,2179,2194,1735,1750,1692,51,1623,3,3,0,12,46,12
43,027-028,Adj,1541,1557,1212,1228,1187,30,1140,4,6,0,7,29,12
43,027-029,Adj,1112,1122,908,918,888,30,845,1,4,0,8,22,8
43,027-030,Adj,1896,1909,1530,1543,1453,42,1399,0,7,0,5,40,50
43,027-031,Adj,2935,2966,2286,2316,2213,95,2070,9,27,0,12,51,52
43,027-032,Adj,3266,3285,2713,2732,2529,878,1544,5,91,0,11,77,126
43,027-033,Adj,2817,2840,2296,2319,2152,507,1596,1,36,2,10,77,90
43,027-034,Adj,1940,1957,1523,1540,1448,99,1317,1,21,1,9,59,33
43,027-035,Adj,4000,4053,3059,3111,2942,137,2778,2,4,0,21,84,85
43,027-036,Adj,1242,1260,932,950,910,47,846,2,1,0,14,29,11
43,027-037,Adj,839,841,636,637,600,429,131,0,34,0,6,13,24
43,027-038,Adj,2578,2583,2316,2321,2039,980,623,1,428,1,6,104,178
43,027-039,Adj,1001,1003,784,786,725,639,58,2,25,0,1,28,33
43,027-040,Unadj,1920,1920,1469,1469,1364,1136,154,0,68,0,6,48,57
43,027-041,Adj,2457,2461,1888,1892,1777,1361,333,4,64,0,15,45,70
41,027-042,Unadj,2120,2120,1674,1674,1584,1291,221,0,62,0,10,39,51
41,027-043,Adj,897,898,847,848,783,651,85,0,44,0,3,25,40
41,027-044,Unadj,1497,1497,1181,1181,1107,1017,43,2,40,0,5,43,31
41,027-045,Unadj,4974,4974,4533,4533,3963,2471,340,0,1142,1,9,196,374
41,027-046,Unadj,1110,1110,883,883,802,702,56,0,42,0,2,49,32
41,027-047,Adj,1785,1790,1544,1549,1402,889,297,5,204,1,6,61,86
41,027-048,Adj,1194,1198,1035,1039,967,204,714,3,46,0,0,40,32
41,027-049,Adj,3929,3930,3020,3021,2821,2213,427,5,141,0,35,101,99
41,027-050,Adj,1414,1417,1126,1129,1039,661,337,1,29,0,11,43,47
41,027-051,Adj,389,391,374,376,362,98,261,0,2,0,1,10,4
41,027-052,Adj,3577,3630,2856,2907,2771,87,2640,8,15,2,19,66,70
40,027-053,Adj,2158,2192,1645,1679,1623,71,1542,8,1,0,1,24,32
40,027-054,Adj,658,673,507,521,499,28,467,1,1,1,1,14,8
41,027-055,Adj,1048,1070,790,812,795,13,777,2,2,0,1,6,11
41,027-056,Adj,1151,1187,919,955,909,13,887,4,4,0,1,21,25
41,027-057,Adj,2654,2687,2219,2252,2157,51,2074,7,24,1,0,53,42
41,027-058,Adj,793,809,628,644,624,15,602,2,2,0,3,8,12
41,027-059,Adj,1165,1180,952,967,908,29,867,1,5,0,6,24,35
41,027-060,Adj,1989,2000,1588,1599,1509,250,1241,0,12,0,6,37,53
41,027-061,Adj,1067,1071,830,834,774,141,606,0,16,0,11,25,35
41,027-062,Adj,3039,3059,2337,2357,2166,1062,1029,7,33,0,35,51,140
41,027-063,Adj,2614,2616,1879,1881,1777,799,905,2,39,1,31,52,52
41,027-064,Adj,2604,2607,1832,1835,1715,1223,371,1,66,0,54,57,63
41,027-065,Adj,4681,4686,3472,3477,3289,2210,936,1,102,0,40,92,96
41,027-066,Adj,3451,3452,2483,2484,2270,1661,559,0,21,0,29,95,119
41,027-067,Adj,3991,4007,2961,2977,2298,798,1418,8,30,0,44,81,598
41,028-001,Adj,1992,2006,1587,1601,1380,94,1257,1,24,0,4,31,190
41,028-002,Adj,2754,2779,2328,2353,2217,68,2105,11,14,1,18,70,66
41,028-003,Adj,515,529,439,453,422,10,403,2,5,0,2,16,15
41,028-004,Adj,959,966,784,791,757,16,733,2,3,2,1,13,21
41,028-005,Adj,2128,2141,1692,1705,1614,24,1570,3,6,1,10,42,49
41,028-006,Adj,3088,3118,2450,2479,2340,60,2231,2,11,3,33,66,73
41,028-007,Adj,1473,1488,1191,1206,1162,45,1092,4,5,0,16,19,25
41,028-008,Adj,2096,2121,1658,1683,1599,72,1507,2,10,0,8,46,38
41,028-009,Adj,3080,3105,2453,2478,2295,354,1887,8,36,0,10,93,90
41,028-010,Adj,2587,2604,2108,2125,2012,216,1762,4,21,0,9,77,36
41,028-011,Adj,2283,2302,1850,1869,1792,179,1599,2,6,0,6,32,45
41,028-012,Adj,2050,2067,1708,1725,1612,321,1222,12,42,0,15,61,52
44,028-013,Adj,1982,2004,1554,1575,1511,86,1405,4,10,0,6,45,19
44,028-014,Adj,889,901,698,710,668,53,603,0,4,0,8,22,20
41,028-015,Adj,2603,2612,2073,2082,1914,621,1254,4,32,2,1,68,100
