"","PRECINCT","0","1","<NA>","16-17","18-24","25-34","35-44","45-54","55-64","65+"
"285",28005,604,345,2,NA,71,138,128,128,193,293
"286",28006,850,532,2,NA,105,189,189,229,240,432
"287",28007,401,285,NA,NA,58,68,90,136,142,192
"288",28008,498,335,1,NA,66,121,138,131,179,199
"289",28009,635,397,2,NA,86,208,166,146,200,228
"290",28010,798,497,NA,NA,100,182,156,174,300,383
"291",28011,742,471,2,NA,84,161,178,197,264,331
"292",28012,585,402,1,NA,67,178,168,164,195,216
"293",28013,523,253,2,NA,50,104,100,102,165,257
"294",28014,172,110,1,NA,18,35,39,46,86,59
"295",28015,617,469,NA,NA,84,233,171,150,205,243
