County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-002,07,46,State Senator,Bill Ferguson,DEM,Y,NA,118,NA,409,NA,139,NA,72,NA,99,NA,837,0,837
03,Baltimore City,001-002,07,46,State Senator,Other Write-Ins,NA,NA,Y,0,NA,1,NA,0,NA,1,NA,1,NA,3,0,3
03,Baltimore City,001-002,07,46,House of Delegates,Pete Waters,REP,NA,NA,15,NA,87,NA,12,NA,7,NA,9,NA,130,0,130
03,Baltimore City,001-002,07,46,House of Delegates,Luke Clippinger,DEM,Y,NA,110,NA,356,NA,132,NA,58,NA,86,NA,742,0,742
03,Baltimore City,001-002,07,46,House of Delegates,Mark Edelson,DEM,Y,NA,111,NA,355,NA,126,NA,62,NA,86,NA,740,0,740
03,Baltimore City,001-002,07,46,House of Delegates,Robbyn Lewis,DEM,Y,NA,115,NA,350,NA,123,NA,66,NA,85,NA,739,0,739
03,Baltimore City,001-002,07,46,House of Delegates,Other Write-Ins,NA,NA,Y,1,NA,4,NA,1,NA,0,NA,0,NA,6,0,6
03,Baltimore City,001-002,07,46,Judge Circuit Court,Erik Atas,JUD,Y,NA,61,NA,202,NA,79,NA,31,NA,45,NA,418,0,418
03,Baltimore City,001-002,07,46,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,60,NA,206,NA,77,NA,27,NA,44,NA,414,0,414
03,Baltimore City,001-002,07,46,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,65,NA,240,NA,85,NA,43,NA,47,NA,480,0,480
03,Baltimore City,001-002,07,46,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,62,NA,215,NA,80,NA,31,NA,44,NA,432,0,432
03,Baltimore City,001-002,07,46,Judge Circuit Court,Other Write-Ins,NA,NA,Y,0,NA,8,NA,0,NA,0,NA,0,NA,8,0,8
03,Baltimore City,001-002,07,46,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,72,10,278,70,86,13,38,10,54,6,528,109,637
03,Baltimore City,001-002,07,46,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,69,10,273,69,74,24,41,8,46,12,503,123,626
03,Baltimore City,001-002,07,46,State's Attorney,Ivan Bates,DEM,Y,NA,121,NA,431,NA,143,NA,68,NA,90,NA,853,0,853
03,Baltimore City,001-002,07,46,State's Attorney,Other Write-Ins,NA,NA,Y,0,NA,4,NA,0,NA,1,NA,1,NA,6,0,6
03,Baltimore City,001-002,07,46,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,94,NA,373,NA,111,NA,64,NA,79,NA,721,0,721
03,Baltimore City,001-002,07,46,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,3,NA,10,NA,4,NA,0,NA,0,NA,17,0,17
03,Baltimore City,001-002,07,46,Register of Wills,Belinda K. Conaway,DEM,Y,NA,93,NA,378,NA,113,NA,64,NA,78,NA,726,0,726
03,Baltimore City,001-002,07,46,Register of Wills,Other Write-Ins,NA,NA,Y,1,NA,7,NA,1,NA,0,NA,0,NA,9,0,9
