County,County Name,Precinct,Congressional,Legislative,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes
03,Baltimore City,027-036,07,43A,99,241,129,14,50
03,Baltimore City,027-037,07,43A,268,720,668,72,286
03,Baltimore City,027-038,02,43A,21,31,17,40,4
03,Baltimore City,027-039,02,43A,83,367,122,9,70
03,Baltimore City,027-040,02,41,290,1470,990,96,432
03,Baltimore City,027-041,02,43A,207,707,473,37,207
03,Baltimore City,027-042,02,41,226,1121,814,65,248
03,Baltimore City,027-043,02,41,135,429,589,17,150
03,Baltimore City,027-044,02,41,172,854,601,72,253
03,Baltimore City,027-045,02,41,246,1317,818,87,394
03,Baltimore City,027-046,02,41,130,523,433,43,153
03,Baltimore City,027-047,02,41,143,798,316,54,146
03,Baltimore City,027-048,07,41,261,594,339,40,80
03,Baltimore City,027-049,02,41,681,1707,1398,153,536
03,Baltimore City,027-050,07,41,371,743,455,68,196
03,Baltimore City,027-051,07,41,33,52,46,19,20
03,Baltimore City,027-052,07,41,488,683,413,48,107
03,Baltimore City,027-053,07,40,199,381,194,52,64
03,Baltimore City,027-054,07,40,76,200,101,16,1
03,Baltimore City,027-055,07,41,38,147,30,87,15
03,Baltimore City,027-056,07,41,118,207,102,17,43
03,Baltimore City,027-057,07,41,364,333,341,31,73
03,Baltimore City,027-058,07,41,80,233,83,9,34
03,Baltimore City,027-059,07,41,201,181,219,287,34
03,Baltimore City,027-060,07,41,511,460,311,33,109
03,Baltimore City,027-061,07,41,172,229,179,71,37
03,Baltimore City,027-062,07,41,405,569,586,30,157
03,Baltimore City,027-063,07,41,504,599,362,79,140
03,Baltimore City,027-064,07,41,309,893,384,67,177
03,Baltimore City,027-065,07,41,503,958,942,50,307
03,Baltimore City,027-066,07,41,447,800,701,34,220
03,Baltimore City,027-067,07,41,318,781,374,36,218
03,Baltimore City,027-069,07,41,17,109,26,2,52
03,Baltimore City,028-001,07,41,311,398,291,5,83
03,Baltimore City,028-002,07,41,581,519,595,31,103
03,Baltimore City,028-003,07,41,101,188,89,1,35
03,Baltimore City,028-004,07,41,136,227,160,12,47
03,Baltimore City,028-005,07,41,354,478,374,62,94
03,Baltimore City,028-006,07,41,525,876,486,49,122
03,Baltimore City,028-007,07,41,260,451,234,11,80
03,Baltimore City,028-008,07,41,303,496,303,36,93
03,Baltimore City,028-009,07,41,250,648,317,71,219
03,Baltimore City,028-010,07,41,585,637,524,52,145
03,Baltimore City,028-011,07,41,587,701,518,49,106
03,Baltimore City,028-012,07,41,525,496,419,23,154
03,Baltimore City,028-013,07,41,359,294,288,266,129
03,Baltimore City,028-014,07,41,125,174,83,20,25
03,Baltimore City,028-015,07,41,336,728,407,59,141
