Precinct,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Census_Total_Adult_Pop,Adjusted_Total_Adult_Pop,Adjusted_One_Race_Adult_Pop,Adjusted_White_Alone_Adult_Pop,Adjusted_Black_Alone_Adult_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Adult_Pop,Adjusted_Asian_Alone_Adult_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Adult_Pop,Adjusted_Other_Race_Alone_Adult_Pop,Adjusted_Multiracial_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Registered_of_Adjusted_Adults,Turnout_of_Registered,Turnout_of_Adjusted_Adults,Registered_of_Unadjusted_Adults,Turnout_of_Unadjusted_Adults
010-002,1058,286,35,Adj,1461,1495,1086,1119,1086,14,1064,6,0,0,2,21,12,1441,19,1414,6,0,0,2,35,19,94.55,27.03,25.56,97.42,26.34
010-003,529,55,1,Adj,3339,1229,2965,937,900,81,823,1,1,0,-6,21,16,1180,80,1098,3,1,-1,-1,23,26,56.46,10.4,5.87,17.84,1.85
010-004,599,149,8,Adj,715,733,604,622,596,17,571,3,4,0,1,17,9,703,17,676,5,4,0,1,20,10,96.3,24.87,23.95,99.17,24.67
011-001,1471,773,18,Adj,2212,2215,2108,2111,1853,1165,440,9,231,0,8,88,170,1933,1207,469,9,239,0,9,99,183,69.68,52.55,36.62,69.78,36.67
011-002,473,203,14,Adj,760,762,723,725,613,232,273,1,104,0,3,53,59,637,241,285,1,106,0,4,54,71,65.24,42.92,28,65.42,28.08
011-003,1409,700,35,Adj,2329,2334,2133,2138,1931,968,683,0,267,0,13,83,124,2089,1062,740,0,272,0,15,98,147,65.9,49.68,32.74,66.06,32.82
011-004,71,46,10,Unadj,126,126,91,91,70,4,66,0,0,0,0,14,7,NA,4,95,0,0,0,0,18,9,78.02,64.79,50.55,78.02,50.55
011-005,2026,711,23,Adj,2233,2260,1878,1904,1743,730,895,5,99,0,14,87,74,2065,752,1193,5,99,0,16,105,90,106.41,35.09,37.34,107.88,37.86
011-006,1754,740,49,Adj,3450,3478,3311,3339,2999,1479,1098,4,410,1,7,141,199,3111,1513,1168,4,416,2,8,152,215,52.53,42.19,22.16,52.97,22.35
011-007,1354,664,22,Adj,2024,2028,1962,1966,1741,1180,395,2,151,0,13,94,131,1780,1197,414,2,152,0,15,106,142,68.87,49.04,33.77,69.01,33.84
011-008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
012-001,2579,1599,49,Adj,4631,4634,4215,4218,3834,2395,256,0,1153,0,30,193,191,4163,2597,291,0,1245,0,30,255,216,61.14,62,37.91,61.19,37.94
012-002,278,153,3,Adj,314,315,251,252,230,158,59,0,11,0,2,7,15,280,192,71,0,15,0,2,20,15,110.32,55.04,60.71,110.76,60.96
012-003,638,376,9,Adj,1136,1137,1033,1034,948,519,104,0,321,0,4,23,63,1032,579,112,0,336,0,5,28,77,61.7,58.93,36.36,61.76,36.4
012-004,1367,547,18,Adj,4408,4410,4225,4227,3570,1671,372,0,1495,1,31,228,429,3692,1746,392,2,1518,1,33,264,454,32.34,40.01,12.94,32.36,12.95
012-005,1125,556,10,Adj,2255,2257,2093,2095,1848,1122,208,2,499,0,17,91,156,1972,1195,249,2,508,0,18,108,177,53.7,49.42,26.54,53.75,26.56
012-006,833,476,12,Adj,1560,1561,1472,1473,1228,804,188,3,226,1,6,97,148,1279,839,197,3,232,1,7,114,168,56.55,57.14,32.32,56.59,32.34
012-007,1415,579,13,Adj,1762,1787,1469,1493,1290,477,766,2,40,0,5,74,129,1541,537,954,2,41,1,6,91,155,94.78,40.92,38.78,96.32,39.41
012-008,2922,1414,42,Adj,2146,2152,1948,1954,1706,998,551,7,132,3,15,80,168,1855,1052,632,7,142,4,18,104,193,149.54,48.39,72.36,150,72.59
012-009,210,101,2,Adj,2363,2377,2123,2137,1880,1207,498,5,154,3,13,87,170,2035,1304,545,5,161,3,17,105,237,9.83,48.1,4.73,9.89,4.76
012-010,1808,508,26,Adj,2376,2397,2072,2093,1863,527,1265,4,55,2,10,65,165,2109,547,1484,4,62,2,10,89,199,86.38,28.1,24.27,87.26,24.52
012-011,627,200,8,Adj,1387,1405,1136,1154,1049,243,755,2,48,0,1,51,54,1267,255,960,3,48,0,1,62,76,54.33,31.9,17.33,55.19,17.61
012-012,1753,658,21,Adj,2293,2294,1999,2000,1771,707,976,4,78,0,6,103,126,2018,732,1177,4,93,1,11,123,153,87.65,37.54,32.9,87.69,32.92
013-001,894,578,30,Adj,2257,2258,2058,2059,1945,1243,223,1,458,0,20,49,65,2124,1386,233,1,483,1,20,61,73,43.42,64.65,28.07,43.44,28.09
013-002,1651,994,39,Adj,1544,1547,1405,1408,1307,1020,199,1,83,0,4,52,49,1438,1118,220,1,95,0,4,56,53,117.26,60.21,70.6,117.51,70.75
013-003,686,386,10,Adj,2694,2701,2372,2379,2167,1949,120,6,80,0,12,98,114,2434,2164,160,6,92,0,12,137,130,28.84,56.27,16.23,28.92,16.27
013-004,2617,1503,44,Adj,1552,1556,1298,1302,1195,1026,51,3,107,0,8,45,62,1412,1186,74,3,135,0,14,63,81,201,57.43,115.44,201.62,115.79
013-005,912,551,22,Adj,1131,1136,989,994,911,727,149,3,26,0,6,37,46,1029,813,168,10,32,0,6,49,58,91.75,60.42,55.43,92.21,55.71
013-006,589,169,3,Adj,837,858,668,689,650,33,611,4,0,0,2,27,12,812,34,769,4,0,0,5,30,16,85.49,28.69,24.53,88.17,25.3
013-007,1241,273,15,Adj,1585,1625,1261,1301,1238,59,1170,1,5,0,3,36,27,1549,68,1471,1,5,0,4,39,37,95.39,22,20.98,98.41,21.65
013-008,1614,599,27,Adj,2186,2221,1734,1769,1659,209,1411,8,12,0,19,62,48,2063,243,1772,9,17,0,22,84,74,91.24,37.11,33.86,93.08,34.54
013-009,1122,414,8,Adj,1566,1582,1322,1338,1247,126,1100,11,8,0,2,65,26,1477,130,1324,11,8,1,3,76,29,83.86,36.9,30.94,84.87,31.32
013-010,1413,616,21,Adj,1898,1926,1581,1609,1506,276,1194,2,29,0,5,66,37,1790,302,1440,2,32,1,13,84,52,87.82,43.6,38.28,89.37,38.96
013-011,2461,1536,31,Adj,2661,2665,2383,2387,2183,1983,72,5,117,0,6,105,99,2395,2173,87,5,124,0,6,143,127,103.1,62.41,64.35,103.27,64.46
013-012,1236,830,33,Adj,1987,1989,1755,1757,1639,1408,52,3,162,0,14,67,51,1839,1581,57,3,181,0,17,87,63,70.35,67.15,47.24,70.43,47.29
014-001,878,451,27,Adj,2050,2055,1929,1934,1693,859,370,0,452,0,12,97,144,1790,917,393,1,466,0,13,114,151,45.4,51.37,23.32,45.52,23.38
014-002,852,393,33,Adj,1137,1153,971,986,933,398,503,2,21,1,8,22,31,1083,412,636,2,21,1,11,28,42,86.41,46.13,39.86,87.74,40.47
014-003,770,161,11,Adj,1328,1355,906,933,890,44,833,2,7,0,4,25,18,1304,52,1233,2,7,0,10,30,21,82.53,20.91,17.26,84.99,17.77
014-004,2212,702,23,Adj,3024,3069,2469,2514,2371,441,1865,8,44,4,9,87,56,2877,482,2321,8,49,4,13,121,71,87.99,31.74,27.92,89.59,28.43
014-005,412,120,2,Adj,596,609,470,483,454,4,446,2,0,1,1,19,10,569,4,561,2,0,1,1,29,11,85.3,29.13,24.84,87.66,25.53
015-001,1440,463,18,Adj,2022,2047,1655,1679,1613,40,1547,8,9,0,9,30,36,1954,47,1880,8,10,0,9,45,48,85.77,32.15,27.58,87.01,27.98
015-002,836,316,6,Adj,1318,1337,1020,1039,1001,61,926,5,6,0,3,17,21,1270,69,1187,5,6,0,3,27,40,80.46,37.8,30.41,81.96,30.98
015-003,1926,666,36,Adj,2845,2875,2276,2306,2205,42,2138,14,8,2,1,43,58,2726,45,2643,15,12,2,9,62,87,83.52,34.58,28.88,84.62,29.26
015-004,1037,356,14,Adj,1096,1108,885,896,866,12,836,5,7,1,5,17,13,1063,12,1027,5,13,1,5,28,17,115.74,34.33,39.73,117.18,40.23
015-005,1178,546,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.35,NA,NA,NA
015-006,1678,576,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.33,NA,NA,NA
015-007,1366,427,6,Adj,1909,1935,1512,1538,1479,40,1425,1,5,1,7,21,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.82,31.26,27.76,90.34,28.24
015-008,691,333,11,Adj,869,877,702,710,682,12,666,2,2,0,0,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.32,48.19,46.9,98.43,47.44
015-009,2529,789,30,Adj,3467,3513,2706,2752,2648,94,2514,11,21,0,8,56,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,31.2,28.67,93.46,29.16
015-010,1312,513,10,Adj,1859,1875,1521,1537,1458,92,1333,5,16,0,12,47,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.36,39.1,33.38,86.26,33.73
